model,horizon,threshold_scale,recall,precision,n_positive,scenario,fold,seed
Raw_GRU__fold0__seed42,30 min,1.1,0.9534883720930233,0.7068965517241379,172,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,1.2,0.9561752988047809,0.8333333333333334,251,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,0.8,0.0,0.0,5,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,0.9,0.3103448275862069,0.2903225806451613,29,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.0,0.8461538461538461,0.5968992248062015,91,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.1,0.9302325581395349,0.7207207207207207,172,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.2,0.952191235059761,0.8415492957746479,251,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,0.8,0.0,0.0,5,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,0.9,0.4827586206896552,0.4,29,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,1.0,0.7912087912087912,0.5901639344262295,91,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,1.1,0.9364161849710982,0.7232142857142857,173,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,1.2,0.9641434262948207,0.8373702422145328,251,Raw_GRU,0,42
LSTM_Suitability__fold0__seed42,15 min,0.8,0.0,0.0,5,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,15 min,0.9,0.6129032258064516,0.3220338983050847,31,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,15 min,1.0,0.9021739130434783,0.5286624203821656,92,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,15 min,1.1,0.9534883720930233,0.7008547008547008,172,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,15 min,1.2,0.9601593625498008,0.8197278911564626,251,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,0.8,0.0,0.0,5,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,0.9,0.6333333333333333,0.3275862068965517,30,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,1.0,0.8901098901098901,0.5510204081632653,91,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,1.1,0.9418604651162791,0.7168141592920354,172,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,1.2,0.9561752988047809,0.8480565371024735,251,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,0.8,0.0,0.0,5,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,0.9,0.5862068965517241,0.32075471698113206,29,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,1.0,0.8351648351648352,0.5671641791044776,91,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,1.1,0.9418604651162791,0.7232142857142857,172,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,1.2,0.9402390438247012,0.851985559566787,251,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,0.8,0.0,0.0,5,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,0.9,0.5862068965517241,0.3269230769230769,29,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,1.0,0.8681318681318682,0.5448275862068965,91,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,1.1,0.953757225433526,0.7268722466960352,173,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,1.2,0.952191235059761,0.8475177304964538,251,LSTM_Suitability,0,42
LSTM_Excursion__fold0__seed42,15 min,0.8,0.0,0.0,5,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,15 min,0.9,0.6129032258064516,0.2923076923076923,31,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,15 min,1.0,0.9021739130434783,0.5253164556962026,92,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,15 min,1.1,0.9709302325581395,0.698744769874477,172,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,15 min,1.2,0.9681274900398407,0.823728813559322,251,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,30 min,0.8,0.0,0.0,5,LSTM_Excursion,0,42
