model,horizon_step,horizon,actual_low,pred_low,TP,FP,FN,TN,precision,recall,f1_score,scenario,fold,seed
CNN_GRU_Attention__fold0__seed2024,3,45 min,91,160,80,80,11,609,0.5,0.8791208791208791,0.6374501992031872,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed2024,4,60 min,91,143,79,64,12,625,0.5524475524475524,0.8681318681318682,0.6752136752136753,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed99,1,15 min,92,150,79,71,13,617,0.5266666666666666,0.8586956521739131,0.6528925619834711,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,2,30 min,91,150,78,72,13,617,0.52,0.8571428571428571,0.6473029045643154,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,3,45 min,91,144,76,68,15,621,0.5277777777777778,0.8351648351648352,0.6468085106382979,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,4,60 min,91,151,79,72,12,617,0.5231788079470199,0.8681318681318682,0.6528925619834711,CNN_GRU_Attention,0,99
Persistence_Baseline__fold1__seedNA,1,15 min,206,206,165,41,41,789,0.8009708737864077,0.8009708737864077,0.8009708737864077,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,2,30 min,206,206,163,43,43,787,0.7912621359223301,0.7912621359223301,0.7912621359223301,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,3,45 min,206,206,155,51,51,779,0.7524271844660194,0.7524271844660194,0.7524271844660194,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,4,60 min,206,206,151,55,55,775,0.7330097087378641,0.7330097087378641,0.7330097087378641,Persistence_Baseline,1,NA
Raw_LSTM__fold1__seed42,1,15 min,206,192,161,31,45,799,0.8385416666666666,0.7815533980582524,0.8090452261306532,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,2,30 min,206,178,153,25,53,805,0.8595505617977528,0.7427184466019418,0.796875,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,3,45 min,206,164,144,20,62,810,0.8780487804878049,0.6990291262135923,0.7783783783783784,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,4,60 min,206,172,151,21,55,809,0.877906976744186,0.7330097087378641,0.798941798941799,Raw_LSTM,1,42
Raw_GRU__fold1__seed42,1,15 min,206,211,171,40,35,790,0.8104265402843602,0.8300970873786407,0.8201438848920863,Raw_GRU,1,42
Raw_GRU__fold1__seed42,2,30 min,206,195,163,32,43,798,0.8358974358974359,0.7912621359223301,0.8129675810473815,Raw_GRU,1,42
Raw_GRU__fold1__seed42,3,45 min,206,191,159,32,47,798,0.8324607329842932,0.7718446601941747,0.801007556675063,Raw_GRU,1,42
Raw_GRU__fold1__seed42,4,60 min,206,208,168,40,38,790,0.8076923076923077,0.8155339805825242,0.8115942028985508,Raw_GRU,1,42
LSTM_Suitability__fold1__seed42,1,15 min,206,191,159,32,47,798,0.8324607329842932,0.7718446601941747,0.801007556675063,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,2,30 min,206,190,159,31,47,799,0.8368421052631579,0.7718446601941747,0.803030303030303,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,3,45 min,206,129,112,17,94,813,0.8682170542635659,0.5436893203883495,0.6686567164179105,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,4,60 min,206,171,149,22,57,808,0.8713450292397661,0.7233009708737864,0.7904509283819628,LSTM_Suitability,1,42
LSTM_Excursion__fold1__seed42,1,15 min,206,212,165,47,41,783,0.7783018867924528,0.8009708737864077,0.7894736842105263,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,2,30 min,206,208,162,46,44,784,0.7788461538461539,0.7864077669902912,0.782608695652174,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,3,45 min,206,204,153,51,53,779,0.75,0.7427184466019418,0.7463414634146341,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,4,60 min,206,189,145,44,61,786,0.7671957671957672,0.7038834951456311,0.7341772151898734,LSTM_Excursion,1,42
LSTM_Stability__fold1__seed42,1,15 min,206,212,169,43,37,787,0.7971698113207547,0.8203883495145631,0.8086124401913876,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,2,30 min,206,197,162,35,44,795,0.8223350253807107,0.7864077669902912,0.8039702233250621,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,3,45 min,206,184,156,28,50,802,0.8478260869565217,0.7572815533980582,0.8,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,4,60 min,206,179,155,24,51,806,0.8659217877094972,0.7524271844660194,0.8051948051948052,LSTM_Stability,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,1,15 min,206,215,174,41,32,789,0.8093023255813954,0.8446601941747572,0.8266033254156769,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,2,30 min,206,234,176,58,30,772,0.7521367521367521,0.8543689320388349,0.8,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,3,45 min,206,210,158,52,48,778,0.7523809523809524,0.7669902912621359,0.7596153846153846,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,4,60 min,206,226,166,60,40,770,0.7345132743362832,0.8058252427184466,0.7685185185185185,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_GRU__fold1__seed42,1,15 min,206,177,153,24,53,806,0.864406779661017,0.7427184466019418,0.7989556135770235,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,2,30 min,206,199,162,37,44,793,0.8140703517587939,0.7864077669902912,0.8,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,3,45 min,206,187,155,32,51,798,0.8288770053475936,0.7524271844660194,0.7888040712468194,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,4,60 min,206,188,156,32,50,798,0.8297872340425532,0.7572815533980582,0.7918781725888325,Full_Assessment_GRU,1,42
GRU_NBeats_lite__fold1__seed42,1,15 min,206,193,119,74,87,756,0.616580310880829,0.5776699029126213,0.5964912280701754,GRU_NBeats_lite,1,42
