units,dropout,best_val_mse
96,0.2,0.14510826766490936
96,0.1,0.1483851820230484
64,0.3,0.1491432636976242
64,0.1,0.15170547366142273
32,0.1,0.16064265370368958
64,0.2,0.1742563545703888
96,0.3,0.18367046117782593
32,0.2,0.18569768965244293
32,0.3,0.1942795217037201
