scenario,horizon,recall_mean,recall_sd,recall_ci_low,recall_ci_high,n_seeds
CNN_GRU_Attention,15 min,0.8739130434782609,0.025023618333089845,0.8428421174892715,0.9049839694672503,5
CNN_GRU_Attention,30 min,0.8813186813186812,0.039161603694957074,0.8326931278987294,0.929944234738633,5
CNN_GRU_Attention,45 min,0.8813186813186814,0.027362416698876325,0.8473437535998372,0.9152936090375257,5
CNN_GRU_Attention,60 min,0.8901098901098902,0.025771515163865,0.8581103275517565,0.9221094526680238,5
Full_Assessment_GRU,15 min,0.7869565217391304,0.07152471250592217,0.6981468612386522,0.8757661822396087,5
Full_Assessment_GRU,30 min,0.7824175824175825,0.1017299939431483,0.6561031114008881,0.908732053434277,5
Full_Assessment_GRU,45 min,0.7890109890109891,0.04623227245706074,0.7316060407459092,0.846415937276069,5
Full_Assessment_GRU,60 min,0.8021978021978022,0.013458734850457019,0.7854865756726194,0.8189090287229851,5
Full_Assessment_Guided_LSTM,15 min,0.8543478260869565,0.04712931171451911,0.7958290564709151,0.9128665957029979,5
Full_Assessment_Guided_LSTM,30 min,0.846153846153846,0.04597033112824592,0.7890741410063972,0.9032335513012949,5
Full_Assessment_Guided_LSTM,45 min,0.8219780219780219,0.03992505961447239,0.7724045128285925,0.8715515311274514,5
Full_Assessment_Guided_LSTM,60 min,0.8307692307692308,0.04227556936631067,0.7782771782835168,0.8832612832549448,5
GRU_NBeats_lite,15 min,0.9,0.06402902815227456,0.8204974609033453,0.9795025390966547,5
GRU_NBeats_lite,30 min,0.923076923076923,0.06547458949347794,0.8417794825057009,1.0043743636481453,5
GRU_NBeats_lite,45 min,0.9142857142857143,0.05731166949628702,0.8431238775952217,0.9854475509762068,5
GRU_NBeats_lite,60 min,0.9164835164835164,0.03694007981092665,0.870616349291515,0.9623506836755179,5
LSTM_Excursion,15 min,0.8456521739130436,0.040232077224612514,0.7956974520502885,0.8956068957757987,5
LSTM_Excursion,30 min,0.8043956043956044,0.05235661208602897,0.739386284100462,0.8694049246907468,5
LSTM_Excursion,45 min,0.8087912087912088,0.019962529807236222,0.784004454216494,0.8335779633659236,5
LSTM_Excursion,60 min,0.8285714285714286,0.03165903360634712,0.7892615463245043,0.867881310818353,5
LSTM_Stability,15 min,0.8478260869565217,0.05380160291636777,0.7810225735696131,0.9146296003434303,5
LSTM_Stability,30 min,0.8087912087912088,0.07793680539119624,0.7120198834019472,0.9055625341804704,5
LSTM_Stability,45 min,0.7934065934065935,0.03677626490259672,0.7477428292886343,0.8390703575245526,5
LSTM_Stability,60 min,0.8,0.030493267968157368,0.7621376069763589,0.8378623930236412,5
LSTM_Suitability,15 min,0.8239130434782608,0.06215642806737303,0.7467356444900616,0.90109044246646,5
LSTM_Suitability,30 min,0.7758241758241757,0.07793680539119624,0.6790528504349141,0.8725955012134373,5
LSTM_Suitability,45 min,0.7824175824175825,0.04752032595701023,0.723413304493855,0.8414218603413101,5
LSTM_Suitability,60 min,0.8021978021978022,0.04726552344528915,0.7435099033795306,0.8608857010160739,5
Persistence_Baseline,15 min,0.6195652173913043,0.0,0.6195652173913043,0.6195652173913043,1
Persistence_Baseline,30 min,0.6703296703296703,0.0,0.6703296703296703,0.6703296703296703,1
Persistence_Baseline,45 min,0.6043956043956044,0.0,0.6043956043956044,0.6043956043956044,1
Persistence_Baseline,60 min,0.5824175824175825,0.0,0.5824175824175825,0.5824175824175825,1
Raw_GRU,15 min,0.8717391304347825,0.033853068483472706,0.8297049940701278,0.9137732667994372,5
Raw_GRU,30 min,0.821978021978022,0.08490744515200815,0.7165515041533126,0.9274045398027315,5
Raw_GRU,45 min,0.8241758241758241,0.09095024921564204,0.7112461740971011,0.9371054742545472,5
Raw_GRU,60 min,0.8241758241758241,0.05095394777744894,0.760908141654211,0.8874435066974373,5
Raw_LSTM,15 min,0.808695652173913,0.05983199541096903,0.7344044175314198,0.8829868868164062,5
Raw_LSTM,30 min,0.778021978021978,0.07863096184614643,0.6803887435534841,0.875655212490472,5
Raw_LSTM,45 min,0.7538461538461538,0.04007600555782521,0.7040852205531882,0.8036070871391194,5
Raw_LSTM,60 min,0.7714285714285714,0.0674728854198187,0.6876499187478546,0.8552072241092881,5
