model,TP_event,FP_event,FN_event,TN_event,false_alarm_rate,missed_alarm_rate,decision_accuracy,scenario,fold,seed
PatchTST_lite__fold0__seed42,128,22,32,598,0.035483870967741936,0.2,0.9307692307692308,PatchTST_lite,0,42
PatchTST_lite__fold0__seed7,148,52,12,568,0.08387096774193549,0.075,0.9179487179487179,PatchTST_lite,0,7
PatchTST_lite__fold0__seed123,133,27,27,593,0.043548387096774194,0.16875,0.9307692307692308,PatchTST_lite,0,123
PatchTST_lite__fold0__seed2024,138,39,22,581,0.06290322580645161,0.1375,0.9217948717948717,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed99,127,24,33,596,0.03870967741935484,0.20625,0.926923076923077,PatchTST_lite,0,99
PatchTST_lite__fold1__seed42,158,6,133,739,0.008053691275167786,0.4570446735395189,0.8658301158301158,PatchTST_lite,1,42
PatchTST_lite__fold2__seed42,140,21,35,836,0.024504084014002333,0.2,0.9457364341085271,PatchTST_lite,2,42
